
   CPU Index           CPU Name

     00A7      -      VAXserver 6000-410
     00A8      -      VAXserver 6000-420
     00A9      -      VAXserver 6000-430
     00AA      -      VAXserver 6000-440
     00AB      -      VAXserver 6000-450
     00AC      -      VAXserver 6000-460
     00AD      -      VAXserver 6000-470
     00AE      -      VAXserver 6000-480
     00AF      -      Unknown VAX 6000-400 Series
     00B0      -      VAX 9000-210
     00B1      -      VAX 9000-220
     00B2      -      VAX 9000-410
     00B3      -      VAX 9000-420
     00B4      -      VAX 9000-430
     00B5      -      VAX 9000-440
     00B6      -      VAX 6305E
     00B7      -      VAXserver 6305E
     00B8      -      Unknown VAX 6305E Series
     00B9      -      VAX 6000-510
     00BA      -      VAX 6000-520
     00BB      -      VAX 6000-530
     00BC      -      VAX 6000-540
     00BD      -      VAX 6000-550
     00BE      -      VAX 6000-560
     00BF      -      VAX 6000-570
     00C0      -      VAX 6000-580
     00C1      -      VAXserver 6000-510
     00C2      -      VAXserver 6000-520
     00C3      -      VAXserver 6000-530
     00C4      -      VAXserver 6000-540
     00C5      -      VAXserver 6000-550
     00C6      -      VAXserver 6000-560
     00C7      -      VAXserver 6000-570
     00C8      -      VAXserver 6000-580
     00C9      -      Unknown VAX 6000-500 Series
     00CA      -      VAXstation 4000-30
     00CB      -      MicroVAX 3100-30/40
     00CC      -      Unknown VAXstation 4000-30
     00CD      -      VAXstation 4000-30
     00CE      -      MicroVAX 3100-30/40
     00CF      -      Unknown VAXstation 4000-30
     00D0      -      VAXserver 4000-30
     00D1      -      MicroVAX 3100-30/40
     00D2      -      Unknown VAXserver 4000-30
     00D3      -      VAX 4000-300
     00D4      -      VAX 4000-300
     00D5      -      Unknown VAX 4000-300
     00D6      -      VAXft-310
     00D7      -      VAXstation 3100-M76
     00D8      -      MicroVAX 3100-M76
     00D9      -      Unknown VAXstation 3100-M76
     00DA      -      VAXstation 3100-M76/SPX
     00DB      -      MicroVAX 3100-M76/SPX
     00DC      -      Unknown VAXstation 3100-M76
     00DD      -      VAXserver 3100-M76
     00DE      -      MicroVAX 3100-M76
     00DF      -      Unknown VAXserver 3100-M76
     00E0      -      VAXstation 3100-M76/GPX
     00E1      -      MicroVAX 3100-M76/GPX
     00E2      -      Unknown VAXstation 3100-M76
     00E3      -      VAXstation 3100/SPX
     00E4      -      MicroVAX 3100/SPX
     00E5      -      Unknown VAXstation 3100
     00E6      -      VAXstation 3100/SPX
     00E7      -      MicroVAX 3100/SPX
     00E8      -      Unknown VAXstation 3100
     00E9      -      VAXstation 4000-30
     00EA      -      MicroVAX 3100-30/40
     00EB      -      Unknown VAXstation 4000-30
     00EC      -      VAXstation 4000-60
     00ED      -      MicroVAX 3100-80
     00EE      -      Unknown VAXstation 4000-60
     00EF      -      VAXstation 4000-60
     00F0      -      MicroVAX 3100-80
     00F1      -      Unknown VAXstation 4000-60
     00F2      -      VAXstation 4000-60
     00F3      -      MicroVAX 3100-80
     00F4      -      Unknown VAXstation 4000-60
     00F5      -      VAXserver 4000-60
     00F6      -      MicroVAX 3100-80
     00F7      -      Unknown VAXserver 4000-60
     00F8      -      VAX 4000-200
     00F9      -      VAX 4000-200
     00FA      -      Unknown VAX 4000-200
     00FB      -      MicroVAX 3820
     00FC      -      VAXstation 3820
     00FD      -      VAXserver 3820
     00FE      -      Unknown MicroVAX 3820
     00FF      -      MicroVAX 3820
     0100      -      Unknown VAXstation 3820
     0101      -      MicroVAX 3840
     0102      -      VAXserver 3840
     0103      -      VAXstation 3840
     0104      -      MicroVAX 3840
     0105      -      MicroVAX 3860
     0106      -      VAXserver 3860
     0107      -      VAXstation 3860
     0108      -      MicroVAX 3860
     0109      -      MicroVAX 3880
     010A      -      VAXserver 3880
     010B      -      VAXstation 3880
     010C      -      MicroVAX 3880
     010D      -      MicroVAX 38A0
     010E      -      VAXserver 38A0
     010F      -      Industrial MicroVAX 3100
     0110      -      Industrial VAXstation 3100
     0111      -      Industrial VAXstation 3100/GPX
     0112      -      Industrial VAXserver 3100
     0113      -      unknown MicroVAX 3100
     0114      -      Industrial MicroVAX 3100
     0115      -      Unknown MicroVAX 3100
     0116      -      Unknown MicroVAX 3100
     0117      -      Unknown MicroVAX 3100
     0118      -      Industrial VAXstation 3100/SPX
     0119      -      Industrial MicroVAX 3100
     011A      -      Unknown MicroVAX 3100
     011B      -      VAX 4000-600
     011C      -      VAX 4000-600
     011D      -      Unknown VAX 4000-600
